Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count,Population,Crude Rate
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,50-54 years,50-54,Male,M,19,149277,12.7
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,55-59 years,55-59,Male,M,23,161482,14.2
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,60-64 years ,60-64,Male,M,30,151504,19.8
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,65-69 years,65-69,Male,M,36,127679,28.2
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,75-79 years,75-79,Male,M,20,68256,29.3
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,50-54 years,50-54,Male,M,17,206772,8.2
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,55-59 years,55-59,Male,M,22,216293,10.2
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,60-64 years ,60-64,Male,M,30,204086,14.7
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,65-69 years,65-69,Male,M,24,184808,13
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,70-74 years,70-74,Male,M,33,166440,19.8
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,75-79 years,75-79,Male,M,33,118458,27.9
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,80-84 years,80-84,Male,M,21,74207,28.3
,Brain and Other Nervous System,31010-31040,Arkansas,5,2019,2019,60-64 years ,60-64,Male,M,17,89601,19
,Brain and Other Nervous System,31010-31040,Arkansas,5,2019,2019,65-69 years,65-69,Male,M,16,77133,20.7
,Brain and Other Nervous System,31010-31040,Arkansas,5,2019,2019,70-74 years,70-74,Male,M,22,63870,34.4
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,1-4 years,01. Apr,Male,M,38,982107,3.9
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,5-9 years,05. Sep,Male,M,42,1267835,3.3
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,10-14 years,Oct 14,Male,M,28,1292746,2.2
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,15-19 years,15-19,Male,M,21,1291291,1.6
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,20-24 years,20-24,Male,M,27,1356036,2
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,25-29 years,25-29,Male,M,30,1599701,1.9
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,30-34 years,30-34,Male,M,57,1524187,3.7
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,35-39 years,35-39,Male,M,50,1414712,3.5
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,40-44 years,40-44,Male,M,73,1253698,5.8
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,45-49 years,45-49,Male,M,74,1250115,5.9
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,50-54 years,50-54,Male,M,95,1225041,7.8
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,55-59 years,55-59,Male,M,134,1230245,10.9
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,60-64 years ,60-64,Male,M,164,1097086,14.9
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,65-69 years,65-69,Male,M,169,883216,19.1
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,70-74 years,70-74,Male,M,137,686769,19.9
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,75-79 years,75-79,Male,M,113,451472,25
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,80-84 years,80-84,Male,M,67,291587,23
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,85+ years,85+,Male,M,53,279780,18.9
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,45-49 years,45-49,Male,M,16,187227,8.5
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,55-59 years,55-59,Male,M,23,178711,12.9
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,60-64 years ,60-64,Male,M,21,168947,12.4
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,65-69 years,65-69,Male,M,24,141710,16.9
,Brain and Other Nervous System,31010-31040,Colorado,8,2019,2019,70-74 years,70-74,Male,M,18,107867,16.7
,Brain and Other Nervous System,31010-31040,Connecticut,9,2019,2019,70-74 years,70-74,Male,M,26,72253,36
,Brain and Other Nervous System,31010-31040,Connecticut,9,2019,2019,75-79 years,75-79,Male,M,16,49743,32.2
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,1-4 years,01. Apr,Male,M,33,469592,7
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,5-9 years,05. Sep,Male,M,17,596098,2.9
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,10-14 years,Oct 14,Male,M,18,615790,2.9
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,15-19 years,15-19,Male,M,20,615879,3.2
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,20-24 years,20-24,Male,M,19,641473,3
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,25-29 years,25-29,Male,M,19,726018,2.6
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,30-34 years,30-34,Male,M,28,703433,4
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,35-39 years,35-39,Male,M,21,667063,3.1
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,40-44 years,40-44,Male,M,32,624833,5.1
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,45-49 years,45-49,Male,M,35,659172,5.3
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,50-54 years,50-54,Male,M,57,669897,8.5
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,55-59 years,55-59,Male,M,96,716609,13.4
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,60-64 years ,60-64,Male,M,117,658745,17.8
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,65-69 years,65-69,Male,M,148,592858,25
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,70-74 years,70-74,Male,M,109,539336,20.2
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,75-79 years,75-79,Male,M,91,398458,22.8
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,80-84 years,80-84,Male,M,68,260167,26.1
,Brain and Other Nervous System,31010-31040,Florida,12,2019,2019,85+ years,85+,Male,M,51,236724,21.5
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,45-49 years,45-49,Male,M,19,344476,5.5
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,50-54 years,50-54,Male,M,25,334207,7.5
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,55-59 years,55-59,Male,M,36,332388,10.8
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,60-64 years ,60-64,Male,M,35,290233,12.1
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,65-69 years,65-69,Male,M,52,233236,22.3
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,70-74 years,70-74,Male,M,36,187877,19.2
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,75-79 years,75-79,Male,M,29,120727,24
,Brain and Other Nervous System,31010-31040,Georgia,13,2019,2019,85+ years,85+,Male,M,18,51922,34.7
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,1-4 years,01. Apr,Male,M,17,308425,5.5
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,5-9 years,05. Sep,Male,M,18,393605,4.6
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,30-34 years,30-34,Male,M,21,435793,4.8
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,35-39 years,35-39,Male,M,23,425776,5.4
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,40-44 years,40-44,Male,M,20,392531,5.1
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,45-49 years,45-49,Male,M,31,395188,7.8
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,50-54 years,50-54,Male,M,31,394391,7.9
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,55-59 years,55-59,Male,M,52,417135,12.5
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,60-64 years ,60-64,Male,M,37,386164,9.6
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,65-69 years,65-69,Male,M,59,311681,18.9
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,70-74 years,70-74,Male,M,39,235792,16.5
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,75-79 years,75-79,Male,M,32,157009,20.4
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,80-84 years,80-84,Male,M,32,99464,32.2
,Brain and Other Nervous System,31010-31040,Illinois,17,2019,2019,85+ years,85+,Male,M,27,90831,29.7
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,55-59 years,55-59,Male,M,23,219431,10.5
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,60-64 years ,60-64,Male,M,25,206150,12.1
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,65-69 years,65-69,Male,M,31,169871,18.2
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,70-74 years,70-74,Male,M,29,128756,22.5
,Brain and Other Nervous System,31010-31040,Indiana,18,2019,2019,80-84 years,80-84,Male,M,17,51872,32.8
,Brain and Other Nervous System,31010-31040,Iowa,19,2019,2019,60-64 years ,60-64,Male,M,16,101015,15.8
,Brain and Other Nervous System,31010-31040,Iowa,19,2019,2019,65-69 years,65-69,Male,M,19,86354,22
,Brain and Other Nervous System,31010-31040,Kansas,20,2019,2019,60-64 years ,60-64,Male,M,16,88946,18
,Brain and Other Nervous System,31010-31040,Kansas,20,2019,2019,65-69 years,65-69,Male,M,19,74294,25.6
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,55-59 years,55-59,Male,M,20,148487,13.5
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,60-64 years ,60-64,Male,M,27,139014,19.4
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,65-69 years,65-69,Male,M,19,117229,16.2
,Brain and Other Nervous System,31010-31040,Kentucky,21,2019,2019,75-79 years,75-79,Male,M,18,59417,30.3
,Brain and Other Nervous System,31010-31040,Louisiana,22,2019,2019,60-64 years ,60-64,Male,M,24,141022,17
,Brain and Other Nervous System,31010-31040,Louisiana,22,2019,2019,70-74 years,70-74,Male,M,20,89033,22.5
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,55-59 years,55-59,Male,M,29,206327,14.1
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,60-64 years ,60-64,Male,M,25,182828,13.7
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,65-69 years,65-69,Male,M,29,143139,20.3
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,70-74 years,70-74,Male,M,33,112376,29.4
,Brain and Other Nervous System,31010-31040,Maryland,24,2019,2019,75-79 years,75-79,Male,M,28,73831,37.9
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,40-44 years,40-44,Male,M,16,197646,8.1
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,55-59 years,55-59,Male,M,25,237611,10.5
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,60-64 years ,60-64,Male,M,33,216000,15.3
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,65-69 years,65-69,Male,M,36,174709,20.6
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,70-74 years,70-74,Male,M,30,136592,22
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,75-79 years,75-79,Male,M,29,88472,32.8
,Brain and Other Nervous System,31010-31040,Massachusetts,25,2019,2019,80-84 years,80-84,Male,M,17,54513,31.2
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,35-39 years,35-39,Male,M,17,299564,5.7
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,45-49 years,45-49,Male,M,17,301904,5.6
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,50-54 years,50-54,Male,M,20,317052,6.3
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,55-59 years,55-59,Male,M,42,346483,12.1
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,60-64 years ,60-64,Male,M,46,333643,13.8
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,65-69 years,65-69,Male,M,51,277951,18.3
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,70-74 years,70-74,Male,M,39,211655,18.4
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,75-79 years,75-79,Male,M,36,141290,25.5
,Brain and Other Nervous System,31010-31040,Michigan,26,2019,2019,80-84 years,80-84,Male,M,26,85115,30.5
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,55-59 years,55-59,Male,M,20,194539,10.3
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,60-64 years ,60-64,Male,M,26,180058,14.4
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,65-69 years,65-69,Male,M,17,147771,11.5
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,70-74 years,70-74,Male,M,22,108169,20.3
,Brain and Other Nervous System,31010-31040,Minnesota,27,2019,2019,75-79 years,75-79,Male,M,23,72620,31.7
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,50-54 years,50-54,Male,M,28,181452,15.4
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,55-59 years,55-59,Male,M,29,207419,14
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,60-64 years ,60-64,Male,M,33,194001,17
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,65-69 years,65-69,Male,M,45,159404,28.2
,Brain and Other Nervous System,31010-31040,Missouri,29,2019,2019,70-74 years,70-74,Male,M,26,124964,20.8
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,35-39 years,35-39,Male,M,17,289218,5.9
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,45-49 years,45-49,Male,M,17,287110,5.9
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,50-54 years,50-54,Male,M,29,299421,9.7
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,55-59 years,55-59,Male,M,37,312164,11.9
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,60-64 years ,60-64,Male,M,35,278186,12.6
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,65-69 years,65-69,Male,M,57,215780,26.4
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,70-74 years,70-74,Male,M,45,168667,26.7
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,75-79 years,75-79,Male,M,33,113439,29.1
,Brain and Other Nervous System,31010-31040,New Jersey,34,2019,2019,85+ years,85+,Male,M,19,68988,27.5
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,5-9 years,05. Sep,Male,M,29,572391,5.1
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,10-14 years,Oct 14,Male,M,23,563007,4.1
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,20-24 years,20-24,Male,M,23,632738,3.6
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,25-29 years,25-29,Male,M,19,734405,2.6
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,30-34 years,30-34,Male,M,35,703845,5
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,35-39 years,35-39,Male,M,28,630588,4.4
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,40-44 years,40-44,Male,M,40,568714,7
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,45-49 years,45-49,Male,M,48,582890,8.2
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,50-54 years,50-54,Male,M,52,618377,8.4
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,55-59 years,55-59,Male,M,75,649310,11.6
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,60-64 years ,60-64,Male,M,82,595312,13.8
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,65-69 years,65-69,Male,M,80,482367,16.6
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,70-74 years,70-74,Male,M,69,374757,18.4
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,75-79 years,75-79,Male,M,54,248805,21.7
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,80-84 years,80-84,Male,M,46,161443,28.5
,Brain and Other Nervous System,31010-31040,New York,36,2019,2019,85+ years,85+,Male,M,27,157832,17.1
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,40-44 years,40-44,Male,M,23,311289,7.4
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,45-49 years,45-49,Male,M,24,335237,7.2
,Brain and Other Nervous System,31010-31040,North Carolina,37,2019,2019,50-54 years,50-54,Male,M,32,329232,9.7
