Notes,Leading Cancer Sites,Leading Cancer Sites Code,States,States Code,Year,Year Code,Age Groups,Age Groups Code,Sex,Sex Code,Count
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,50-54 years,50-54,Male,M,19
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,55-59 years,55-59,Male,M,23
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,60-64 years ,60-64,Female,F,17
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,60-64 years ,60-64,Male,M,30
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,65-69 years,65-69,Male,M,36
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,70-74 years,70-74,Female,F,18
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,75-79 years,75-79,Female,F,18
,Brain and Other Nervous System,31010-31040,Alabama,1,2019,2019,75-79 years,75-79,Male,M,20
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,50-54 years,50-54,Male,M,17
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,55-59 years,55-59,Female,F,16
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,55-59 years,55-59,Male,M,22
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,60-64 years ,60-64,Female,F,20
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,60-64 years ,60-64,Male,M,30
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,65-69 years,65-69,Female,F,35
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,65-69 years,65-69,Male,M,24
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,70-74 years,70-74,Female,F,25
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,70-74 years,70-74,Male,M,33
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,75-79 years,75-79,Female,F,21
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,75-79 years,75-79,Male,M,33
,Brain and Other Nervous System,31010-31040,Arizona,4,2019,2019,80-84 years,80-84,Male,M,21
,Brain and Other Nervous System,31010-31040,Arkansas,5,2019,2019,60-64 years ,60-64,Male,M,17
,Brain and Other Nervous System,31010-31040,Arkansas,5,2019,2019,65-69 years,65-69,Male,M,16
,Brain and Other Nervous System,31010-31040,Arkansas,5,2019,2019,70-74 years,70-74,Male,M,22
,Brain and Other Nervous System,31010-31040,California,6,2019,2019,1-4 years,01. Apr,Female,F,30
