Leading Cancer Sites,States,Year,Age Groups,Gender,Gender Code,Count,Population,Crude Rate,Region,Age_Flag,Age_max
Brain and Other Nervous System,Alabama,2018,60-64 years ,Female,F,23.0,168342.0,13.7,South,Middle age group,64.0
Brain and Other Nervous System,Alabama,2018,65-69 years,Female,F,21.0,145302.0,14.5,South,Elderly group,69.0
Brain and Other Nervous System,Alabama,2018,70-74 years,Female,F,23.0,117686.0,19.5,South,Elderly group,74.0
Brain and Other Nervous System,Alabama,2018,75-79 years,Female,F,19.0,84846.0,22.4,South,Elderly group,79.0
Brain and Other Nervous System,Alabama,2018,80-84 years,Female,F,18.0,58233.0,30.9,South,Elderly group,84.0
Brain and Other Nervous System,Arizona,2018,55-59 years,Female,F,21.0,227767.0,9.2,West,Middle age group,59.0
Brain and Other Nervous System,Arizona,2018,60-64 years ,Female,F,23.0,224349.0,10.3,West,Middle age group,64.0
Brain and Other Nervous System,Arizona,2018,65-69 years,Female,F,22.0,208318.0,10.6,West,Elderly group,69.0
Brain and Other Nervous System,Arizona,2018,70-74 years,Female,F,20.0,178478.0,11.2,West,Elderly group,74.0
Brain and Other Nervous System,Arizona,2018,75-79 years,Female,F,17.0,127735.0,13.3,West,Elderly group,79.0
Brain and Other Nervous System,Arizona,2018,80-84 years,Female,F,18.0,80665.0,22.3,West,Elderly group,84.0
Brain and Other Nervous System,Arkansas,2018,65-69 years,Female,F,21.0,86261.0,24.3,South,Elderly group,69.0
Brain and Other Nervous System,Arkansas,2018,75-79 years,Female,F,16.0,52169.0,30.7,South,Elderly group,79.0
Brain and Other Nervous System,California,2018,1-4 years,Female,F,36.0,957727.0,3.8,West,Pediatric group,4.0
Brain and Other Nervous System,California,2018,5-9 years,Female,F,26.0,1217966.0,2.1,West,Pediatric group,9.0
Brain and Other Nervous System,California,2018,10-14 years,Female,F,35.0,1245715.0,2.8,West,Pediatric group,14.0
Brain and Other Nervous System,California,2018,15-19 years,Female,F,17.0,1244599.0,1.4,West,Young age group,19.0
Brain and Other Nervous System,California,2018,20-24 years,Female,F,16.0,1309503.0,1.2,West,Young age group,24.0
Brain and Other Nervous System,California,2018,25-29 years,Female,F,35.0,1508473.0,2.3,West,Young age group,29.0
Brain and Other Nervous System,California,2018,30-34 years,Female,F,30.0,1411558.0,2.1,West,Adult age group,34.0
Brain and Other Nervous System,California,2018,35-39 years,Female,F,40.0,1352266.0,3.0,West,Adult age group,39.0
Brain and Other Nervous System,California,2018,40-44 years,Female,F,36.0,1242502.0,2.9,West,Adult age group,44.0
Brain and Other Nervous System,California,2018,45-49 years,Female,F,55.0,1282226.0,4.3,West,Adult age group,49.0
Brain and Other Nervous System,California,2018,50-54 years,Female,F,57.0,1251079.0,4.6,West,Middle age group,54.0
Brain and Other Nervous System,California,2018,55-59 years,Female,F,107.0,1277279.0,8.4,West,Middle age group,59.0
Brain and Other Nervous System,California,2018,60-64 years ,Female,F,115.0,1168986.0,9.8,West,Middle age group,64.0
Brain and Other Nervous System,California,2018,65-69 years,Female,F,106.0,978836.0,10.8,West,Elderly group,69.0
Brain and Other Nervous System,California,2018,70-74 years,Female,F,114.0,769806.0,14.8,West,Elderly group,74.0
Brain and Other Nervous System,California,2018,75-79 years,Female,F,70.0,540682.0,12.9,West,Elderly group,79.0
Brain and Other Nervous System,California,2018,80-84 years,Female,F,51.0,380970.0,13.4,West,Elderly group,84.0
Brain and Other Nervous System,California,2018,85+ years,Female,F,67.0,463829.0,14.4,West,Elderly group,89.0
Brain and Other Nervous System,Colorado,2018,65-69 years,Female,F,24.0,149767.0,16.0,West,Elderly group,69.0
Brain and Other Nervous System,Colorado,2018,70-74 years,Female,F,23.0,111105.0,20.7,West,Elderly group,74.0
Brain and Other Nervous System,Connecticut,2018,55-59 years,Female,F,22.0,139189.0,15.8,North-East,Middle age group,59.0
Brain and Other Nervous System,Connecticut,2018,60-64 years ,Female,F,18.0,125449.0,14.3,North-East,Middle age group,64.0
Brain and Other Nervous System,Connecticut,2018,65-69 years,Female,F,16.0,100828.0,15.9,North-East,Elderly group,69.0
Brain and Other Nervous System,Florida,2018,1-4 years,Female,F,18.0,449887.0,4.0,South,Pediatric group,4.0
Brain and Other Nervous System,Florida,2018,5-9 years,Female,F,21.0,565856.0,3.7,South,Pediatric group,9.0
Brain and Other Nervous System,Florida,2018,10-14 years,Female,F,18.0,591028.0,3.0,South,Pediatric group,14.0
Brain and Other Nervous System,Florida,2018,25-29 years,Female,F,26.0,702633.0,3.7,South,Young age group,29.0
Brain and Other Nervous System,Florida,2018,30-34 years,Female,F,21.0,667364.0,3.1,South,Adult age group,34.0
Brain and Other Nervous System,Florida,2018,35-39 years,Female,F,17.0,658948.0,2.6,South,Adult age group,39.0
Brain and Other Nervous System,Florida,2018,40-44 years,Female,F,23.0,632245.0,3.6,South,Adult age group,44.0
Brain and Other Nervous System,Florida,2018,45-49 years,Female,F,41.0,684212.0,6.0,South,Adult age group,49.0
Brain and Other Nervous System,Florida,2018,50-54 years,Female,F,50.0,713099.0,7.0,South,Middle age group,54.0
Brain and Other Nervous System,Florida,2018,55-59 years,Female,F,67.0,762358.0,8.8,South,Middle age group,59.0
Brain and Other Nervous System,Florida,2018,60-64 years ,Female,F,75.0,735173.0,10.2,South,Middle age group,64.0
Brain and Other Nervous System,Florida,2018,65-69 years,Female,F,107.0,681922.0,15.7,South,Elderly group,69.0
Brain and Other Nervous System,Florida,2018,70-74 years,Female,F,86.0,600543.0,14.3,South,Elderly group,74.0
Brain and Other Nervous System,Florida,2018,75-79 years,Female,F,80.0,450580.0,17.8,South,Elderly group,79.0
Brain and Other Nervous System,Florida,2018,80-84 years,Female,F,52.0,307954.0,16.9,South,Elderly group,84.0
Brain and Other Nervous System,Florida,2018,85+ years,Female,F,49.0,343183.0,14.3,South,Elderly group,89.0
Brain and Other Nervous System,Georgia,2018,35-39 years,Female,F,19.0,364400.0,5.2,South,Adult age group,39.0
